ID,time,x,y
PET-C,2011-12-14 19:54,1098758.833,-7829086.961
PET-C,2011-12-14 20:24,1085341.896,-7798888.412
PET-C,2011-12-14 20:54,1068499.458,-7771681.694
PET-C,2011-12-14 21:24,1051678.87,-7744494.065
PET-C,2011-12-14 21:54,1036661.553,-7720785.691
PET-C,2011-12-14 22:24,1027830.299,-7709081.408
PET-C,2011-12-14 22:54,1019004.487,-7697380.17
PET-C,2011-12-14 23:24,1009416.888,-7686541.72
PET-C,2011-12-14 23:54,997505.8395,-7678313.98
PET-C,2011-12-15 0:24,985600.8684,-7670085.352
PET-C,2011-12-15 0:54,975795.5883,-7661994.87
PET-C,2011-12-15 1:24,969041.7902,-7654107.328
PET-C,2011-12-15 1:54,962290.9762,-7646220.901
PET-C,2011-12-15 2:24,952540.1128,-7635539.984
PET-C,2011-12-15 2:54,938993.261,-7621319.325
PET-C,2011-12-15 3:24,925457.6129,-7607101.362
PET-C,2011-12-15 3:54,912989.6925,-7589738.783
PET-C,2011-12-15 4:24,901956.7205,-7568147.308
PET-C,2011-12-15 4:54,890936.2934,-7546568.609
PET-C,2011-12-15 5:24,878909.5037,-7524502.23
PET-C,2011-12-15 5:54,865764.4302,-7501892.101
PET-C,2011-12-15 6:24,852636.1281,-7479295.189
PET-C,2011-12-15 6:54,843338.4473,-7457165.379
PET-C,2011-12-15 7:24,836694.1108,-7435364.78
PET-C,2011-12-15 7:54,830057.112,-7413579.101
PET-C,2011-12-15 8:24,823017.1166,-7392961.725
PET-C,2011-12-15 8:54,815667.5751,-7373248.983
PET-C,2011-12-15 9:24,808326.105,-7353548.293
PET-C,2011-12-15 9:54,802807.0434,-7337541.31
PET-C,2011-12-15 10:24,798312.8125,-7323612.52
PET-C,2011-12-15 10:54,793822.0691,-7309689.973
PET-C,2011-12-15 11:24,787703.5789,-7290756.612
PET-C,2011-12-15 11:54,780739.8987,-7269213.685
PET-C,2011-12-15 12:24,773784.8766,-7247685.91
PET-C,2011-12-15 12:54,769386.3121,-7223061.651
PET-C,2011-12-15 13:24,766209.3974,-7196972.878
PET-C,2011-12-15 13:54,763035.952,-7170907.991
PET-C,2011-12-15 14:24,760184.507,-7154475.416
PET-C,2011-12-15 14:54,757495.5681,-7142891.046
PET-C,2011-12-15 15:24,754808.4186,-7131311.388
PET-C,2011-12-15 15:54,751561.287,-7113165.516
PET-C,2011-12-15 16:24,748153.4523,-7093113.152
PET-C,2011-12-15 16:54,744749.3026,-7073075.33
PET-C,2011-12-15 17:24,742334.0558,-7047397.301
PET-C,2011-12-15 17:54,740080.0219,-7020832.554
PET-C,2011-12-15 18:24,737828.2475,-6994294.135
PET-C,2011-12-15 18:54,733753.2188,-6974544.405
PET-C,2011-12-15 19:24,729495.2081,-6955504.872
PET-C,2011-12-15 19:54,725242.3158,-6936478.876
PET-C,2011-12-15 20:24,724964.0134,-6923183.001
PET-C,2011-12-15 20:54,725328.5399,-6910819.81
PET-C,2011-12-15 21:24,725692.2724,-6898462.471
PET-C,2011-12-15 21:54,724901.6695,-6885249.897
